obiettivo;argomento;scadenza;completato
Capire le variabili;Basi;2025-02-01;si
Padroneggiare i cicli;Cicli;2025-02-08;si
Liste e dizionari;Strutture dati;2025-02-15;si
Scrivere funzioni;Funzioni;2025-02-22;no
Gestire gli errori;Errori;2025-03-01;no
Leggere file CSV;File;2025-03-08;no
Primo mini-progetto;Progetti;2025-03-15;no
Analisi dati base;Dati;2025-03-22;no
Usare l AI per studiare;AI;2025-03-29;no
Completare il workbook;Esercizi;2025-04-05;no
Superare il test finale;Verifica;2025-04-12;no
Progetto capstone;Capstone;2025-04-19;no
