titolo;autore;pagine;valutazione
Python da Zero;Tania Cilio;260;5
Il nome della rosa;Umberto Eco;520;5
1984;George Orwell;328;4
Il piccolo principe;Saint-Exupery;96;5
Sapiens;Yuval Harari;450;4
Il gattopardo;Tomasi di Lampedusa;300;4
La coscienza di Zeno;Italo Svevo;420;3
Cent anni di solitudine;Garcia Marquez;417;5
Il fu Mattia Pascal;Luigi Pirandello;280;4
Se questo e un uomo;Primo Levi;210;5
La solitudine dei numeri primi;Paolo Giordano;304;3
Va dove ti porta il cuore;Susanna Tamaro;170;4
